city,timestamp,temperature,humidity,pressure,wind_speed,weather_desc,aqi,pm25,pm10,no2,o3
Rabat,2026-05-02 09:25:06.963104,17.37,100.0,1019.0,2.06,overcast clouds,2.0,4.77,9.18,3.55,66.11
Agadir,2026-05-02 09:30:29.855807,18.06,83.0,1017.0,2.25,few clouds,2.0,4.47,12.8,0.47,89.49
Tanger,2026-05-02 09:30:29.855807,18.74,82.0,1018.0,1.03,scattered clouds,2.0,3.88,9.34,3.6,81.93
Marrakech,2026-05-02 09:30:29.855807,15.98,82.0,1018.0,3.6,broken clouds,2.0,13.96,31.01,2.99,64.11
Rabat,2026-05-02 09:30:29.855807,17.37,100.0,1019.0,2.06,overcast clouds,2.0,4.77,9.18,3.55,66.11
Agadir,2026-05-02 10:25:16.771390,20.06,77.0,1017.0,2.2,few clouds,2.0,4.7,13.78,0.42,88.55
Tanger,2026-05-02 10:25:16.771390,20.74,73.0,1018.0,2.06,scattered clouds,2.0,3.8,9.23,2.9,85.94
Marrakech,2026-05-02 10:25:16.771390,16.98,77.0,1018.0,3.09,broken clouds,2.0,13.44,30.69,2.29,71.39
Rabat,2026-05-02 10:25:16.771390,18.37,82.0,1019.0,2.06,overcast clouds,2.0,5.08,9.65,3.06,70.77
Agadir,2026-05-02 10:30:39.594831,20.06,74.0,1018.0,3.22,scattered clouds,2.0,4.7,13.78,0.42,88.55
Tanger,2026-05-02 10:30:39.594831,20.74,73.0,1018.0,2.06,scattered clouds,2.0,3.8,9.23,2.9,85.94
Marrakech,2026-05-02 10:30:39.594831,16.98,77.0,1018.0,3.09,broken clouds,2.0,13.44,30.69,2.29,71.39
Rabat,2026-05-02 10:30:39.594831,18.37,82.0,1019.0,2.06,overcast clouds,2.0,5.08,9.65,3.06,70.77
Agadir,2026-05-02 12:08:19.812960,24.06,71.0,1017.0,3.55,scattered clouds,2.0,5.75,16.78,0.25,88.93
Tanger,2026-05-02 12:08:19.812960,19.74,77.0,1018.0,1.54,scattered clouds,3.0,3.64,8.42,0.91,104.1
